df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.00111129016690605	1e-05	0.0219085261878070	0.117620232135796	0.0284965055539941	0.124487728211452	25
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.00118527730177464	1e-05	0.0220724891537883	0.119202163902534	0.0277030584130500	0.123690774738887	26
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.00126429124321369	1e-05	0.0222307684813328	0.120686607555513	0.0269790841215582	0.122917576047273	27
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.00134867671204165	1e-05	0.0223832988805539	0.122079721201637	0.0263182733144666	0.122169371537910	28
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.00143880217208948	1e-05	0.0225300590711719	0.123387259527289	0.0257149063408450	0.121447043078461	29
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	M	ALPHA	MORTALITY	0.00153506146834747	1e-05	0.0226710651645745	0.124614601577506	0.0251637969562628	0.120751165851128	30
0.85	0.15	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	-0.00100023409428574	1e-05	0.00457400978071225	0.00361235436305714	0.0607860398260016	0.0480061754796313	1
0.85	0.15	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	-0.00142441291631293	1e-05	0.00458471024320570	0.00947192609003256	0.0551452399303517	0.0490237301571766	2
0.85	0.15	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	-0.00232398445309956	1e-05	0.00460171995706099	0.0148436073953640	0.0500567030362076	0.0497824881840167	3
0.85	0.15	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	-0.00549043168439727	1e-05	0.00462380667967451	0.0197681961473278	0.0454661998456122	0.0503215788285129	4
0.85	0.15	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.0224287505247484	1e-05	0.00464991039231188	0.0242830616048558	0.0413248398730835	0.0506751005598968	5
0.85	0.15	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.00397136116682780	1e-05	0.00467912208488563	0.0284224342159132	0.0375885446613661	0.0508727184433440	6
0.85	0.15	0.1	0.1	5.0	20.0	5.0	20.0	0.1	0.82	F	ALPHA	FECUNDITY	0.00226621388355841	1e-05	0.00471066498761960	0.0322176707599519	0.0342175730768320	0.0509401938381473	7
